Beatles;22;Hey Jude
Beatles;39;Yesterday
Beatles;58;Let it be
Beatles;76;A day in the life
Beatles;142;Blackbird
Beatles;185;Here comes the sun
Beatles;187;Strawberry fields forever
Beatles;191;While my guitar gently weeps
Beatles;203;Fool on the hill
Beatles;298;The long and winding road
Beatles;303;Norwegian wood
Beatles;321;Michelle
Beatles;327;Eleanor Rigby
Beatles;335;Sgt. Pepper's Lonely Hearts c
Beatles;351;Get back
Beatles;417;Something
Beatles;438;Penny lane
Beatles;467;Help
Beatles;476;All you need is love
Beatles;522;She's leaving home
Beatles;584;In my life
Beatles;641;I am the walrus
Beatles;695;When I'm sixty four
Beatles;698;For no one
Beatles;748;Lucy in the sky with diamonds
Beatles;807;Here there and everywhere
Beatles;844;Lady Madonna
Beatles;890;A hard day's night
Beatles;991;And I love her
Beatles;1004;Across the universe
Beatles;1006;Girl
Beatles;1068;Back in the U.S.S.R.
Beatles;1069;We can work it out
Beatles;1076;I saw her standing there
Beatles;1142;Eight days a week
Beatles;1183;Hello goodbye
Beatles;1185;Yellow submarine
Beatles;1204;Can't buy me love
Beatles;1208;All my loving
Beatles;1271;If I fell
Beatles;1358;Twist and shout
Beatles;1369;She loves you
Beatles;1428;Baby's in black
Beatles;1479;Day tripper
Beatles;1529;Paperback writer
Beatles;1556;No reply
Beatles;1606;Love me do
Beatles;1622;I feel fine
Beatles;1649;Ob la di ob la da
Beatles;1678;The ballad of John and Yoko
Beatles;1719;Ticket to ride
Beatles;1726;Magical mystery tour
Beatles;1834;Rock and roll music
Beatles;1879;I should have known better
Beatles;1973;I want to hold your hand
Beatles;2197;Please, please me
Beatles;2408;Getting Better
Beatles;3265;From Me To You
Beatles;3268;Things We Said Today
Beatles;3277;The Night Before
Beatles;3285;Please Mr. Postman
Beatles;3292;Do You Want To Know a Secret
Beatles;3356;If I Fell In Love With You
Beatles;3400;Roll Over Beethoven
Beatles;3435;A Taste of Honey
Beatles;3459;Mr. Moonlight
Beatles;3472;Long Tall Sally
Beatles;3483;You Really Got a Hold on Me
Beatles;3484;Anytime You Call
Beatles;3485;Nowhere Man
Beatles;3490;I am a Loser
Rolling Stones;21;Angie
Rolling Stones;45;Sympathy for the devil
Rolling Stones;57;Paint it black
Rolling Stones;122;I can't get no Satisfaction
Rolling Stones;207;You can't always get what you
Rolling Stones;241;Gimme shelter
Rolling Stones;306;Wild horses
Rolling Stones;450;It's all over now
Rolling Stones;465;Brown sugar
Rolling Stones;495;Jumpin' Jack flash
Rolling Stones;525;Ruby Tuesday
Rolling Stones;558;Honky tonk women
Rolling Stones;568;As tears go by
Rolling Stones;636;Lady Jane
Rolling Stones;688;Waiting on a friend
Rolling Stones;715;Fool to cry
Rolling Stones;729;Little red rooster
Rolling Stones;776;She's a rainbow
Rolling Stones;812;The last time
Rolling Stones;841;Start me up
Rolling Stones;853;Midnight rambler
Rolling Stones;921;Let's spend the night togethe
Rolling Stones;956;Dead flowers
Rolling Stones;968;Miss you
Rolling Stones;1154;Time is on my side
Rolling Stones;1246;Under my thumb
Rolling Stones;1250;That's how strong my love is
Rolling Stones;1302;Memory motel
Rolling Stones;1317;2000 Light years from home
Rolling Stones;1371;Tell me
Rolling Stones;1381;Get your kicks on Route 66
Rolling Stones;1382;Heart of stone
Rolling Stones;1666;Beast of burden
Rolling Stones;1669;Tumbling dice
Rolling Stones;1686;Get off of my cloud
Rolling Stones;1745;It's only rock 'n roll
Rolling Stones;1792;Mother's little helper
Rolling Stones;1840;Street fightin' man
Rolling Stones;1900;19th Nervous breakdown
Rolling Stones;1903;We love you
Rolling Stones;2381;Undercover The Night
Rolling Stones;2678;Emotional Rescue
ABBA;49;Dancing queen
ABBA;104;The day before you came
ABBA;135;Eagle
ABBA;140;The winner takes it all
ABBA;243;Thank you for the music
ABBA;395;I have a dream
ABBA;402;Happy New Year
ABBA;479;Chiquitita
ABBA;485;Mamma mia
ABBA;524;Fernando
ABBA;546;Waterloo
ABBA;777;One of us
ABBA;917;Knowing me knowing you
ABBA;1019;Gimme gimme gimme
ABBA;1059;Lay all your love on me
ABBA;1175;S.O.S.
ABBA;1193;Does your mother know
ABBA;1294;Take a chance on me
ABBA;1407;Super trouper
ABBA;1496;Money money money
ABBA;1648;The name of the game
ABBA;1701;Summer night city
ABBA;1722;Head over heals
ABBA;1963;Voulez vous
ABBA;2058;I do I do I do
ABBA;2065;Honey honey
ABBA;2431;Ring Ring
ABBA;3237;I've Been Waiting For You
ABBA;3378;The Way old Friends Do
ABBA;3385;Intermezzo No. 1
ABBA;3452;Tropical Loveland
ABBA;3458;I Believe In Angels
ABBA;3471;People Need Love
ABBA;3480;Our Last Summer
Queen;1;Bohemian rhapsody
Queen;69;Love of my life
Queen;74;Who wants to live forever
Queen;121;I want to break free
Queen;129;Somebody to love
Queen;154;Don't stop me now
Queen;186;The show must go on
Queen;228;We will rock you
Queen;257;Killer queen
Queen;271;We are the champions
Queen;317;Radio ga ga
Queen;336;These are the days of our liv
Queen;393;Innuendo
Queen;582;Crazy little thing called
Queen;601;A kind of magic
Queen;630;Bicycle race
Queen;638;Another one bites the dust
Queen;765;You're my best friend
Queen;1186;Tie your mother down
Queen;3274;Heaven For Every One
Queen;3289;Thank God It's Christmas
Queen;3327;Let Me Live
Queen;3357;Living On My Own
Bee Gees;287;Massachusetts
Bee Gees;350;How deep is your love
Bee Gees;356;Words
Bee Gees;434;Staying alive
Bee Gees;552;Spicks and specks
Bee Gees;612;I started a joke
Bee Gees;656;Don't forget to remember
Bee Gees;861;Night fever
Bee Gees;920;Nights on broadway
Bee Gees;937;Tragedy
Bee Gees;1024;Lonely days
Bee Gees;1139;You win again
Bee Gees;1173;How can you mend a broken
Bee Gees;1236;To love somebody
Bee Gees;1450;I've gotta get a message to y
Bee Gees;1477;New York mining disaster 1941
Bee Gees;1727;World
Bee Gees;1805;Too much heaven
Bee Gees;1848;You should be dancing
Bee Gees;1941;Jive talking
Bee Gees;2036;My world
Bee Gees;2224;Holiday
Bee Gees;3256;First Of May
Bee Gees;3293;When The Swallows Fly
Beach Boys;68;God only knows
Beach Boys;117;Good vibrations
Beach Boys;301;Sloop John B
Beach Boys;789;Tears in the morning
Beach Boys;1269;I can hear music
Beach Boys;1516;California girls
Beach Boys;1587;Heroes and villains
Beach Boys;1638;Then I kissed her
Beach Boys;1693;Wouldn't it be nice
Beach Boys;1774;Barbara Ann
Beach Boys;1857;Help me Rhonda
Beach Boys;1905;Kokomo
Beach Boys;1986;I get around
Beach Boys;2426;Sail On Sailor
Beach Boys;2495;Do It Again
Beach Boys;3238;Fun, Fun, Fun
Beach Boys;3275;Surfing USA
Beach Boys;3371;Little Honda
Beach Boys;3389;You're So Good To Me
Beach Boys;3477;Darlin'
Elvis Presley;97;Suspicious minds
Elvis Presley;157;In the ghetto
Elvis Presley;314;Always on my mind
Elvis Presley;390;My boy
Elvis Presley;411;I just can't help believing
Elvis Presley;528;Jailhouse rock
Elvis Presley;611;Can't help falling in love
Elvis Presley;654;Love me tender
Elvis Presley;664;Are you lonesome tonight
Elvis Presley;775;Burning love
Elvis Presley;778;One night with you
Elvis Presley;960;Heartbreak hotel
Elvis Presley;999;It's now or never
Elvis Presley;1130;You're the devil in disguis
Elvis Presley;1217;Wooden heart
Elvis Presley;1315;Don't be cruel
Elvis Presley;1611;Little sister
Elvis Presley;1717;Kiss me quick
Elvis Presley;2012;Good luck charm
Dire Straits;20;Brothers in arms
Dire Straits;27;Sultans of swing
Dire Straits;31;Private investigations
Dire Straits;210;Walk of life
Dire Straits;304;Money for nothing
Dire Straits;316;Romeo and Juliet
Dire Straits;329;Telegraph road
Dire Straits;560;Tunnel of love
Dire Straits;783;Why worry
Dire Straits;951;On every street
Dire Straits;1224;Water of love
Dire Straits;1484;Calling Elvis
Dire Straits;1748;Twisting by the pool
Dire Straits;2923;So Far Away
Dire Straits;3011;Your Latest Trick
Dire Straits;3284;Theme Of The Local Hero
Dire Straits;3290;The Way It Always Starts
Dire Straits;3392;The Man's Too Strong
U2;6;One
U2;41;Sunday bloody sunday
U2;48;With or without you
U2;59;Beautiful day
U2;72;I still haven't found what I'
U2;98;Where the streets have no nam
U2;114;The unforgettable fire
U2;137;Pride (In the name of love)
U2;172;New Years day
U2;365;All I want is you
U2;452;I will follow
U2;631;Stuck in a moment you can't
U2;781;Walk on
U2;2524;Desire
U2;2640;Sweetest Thing
